timestamp,prediction,prediction_lower,prediction_upper
2021-05-23,179.4126284507791,-251.0626667424996,621.2183696259374
2021-05-24,147.55891629961107,-241.9403366112485,610.4744086269988
2021-05-25,139.60863346960483,-311.8032626723989,532.7940427836502
2021-05-26,128.94775727198422,-329.947258345997,578.5205281790232
2021-05-27,157.89267891493506,-274.2851178691666,601.2432669283229
2021-05-28,125.49654631764474,-329.3122887372697,549.5542757706899
2021-05-29,153.38524815537903,-273.48437895623215,600.9194693961338
2021-05-30,183.20804260387087,-270.8190538084616,605.5009741921263
2021-05-31,149.18354406280537,-274.2087996886175,598.9653075071619
2021-06-01,138.87819857978795,-285.79340912417626,570.2311208004425
2021-06-02,125.75210309168571,-294.28131014962986,558.8365471127701
2021-06-03,152.19749267373908,-293.35532945377145,598.9091494955204
2021-06-04,117.34277321617822,-298.82431618009036,531.8797241291386
2021-06-05,142.88626493925617,-291.46442156151534,563.2870685126356
2021-06-06,170.54472021114626,-262.5336022467151,582.639853785006
2021-06-07,134.59738401941934,-271.87462789951087,565.1815802082989
2021-06-08,122.6627766380558,-351.11824709580384,550.1669640778539
2021-06-09,108.24309505323784,-307.2221272961499,532.187351779253
2021-06-10,133.76159049703455,-320.5932552513838,548.8280812342409
2021-06-11,98.36582371745229,-347.98881364329804,571.7597285213776
2021-06-12,123.76097823913325,-300.9232574109777,540.2875220406673
2021-06-13,151.65830039358312,-288.6514957185629,557.0486469439567
2021-06-14,116.31943034302539,-352.1580667742686,542.9560745843119
2021-06-15,105.33379041073306,-337.39019550755575,507.37163003332824
2021-06-16,92.16390549256863,-335.45847046959375,522.8685779030501
2021-06-17,119.18398333408176,-317.43467301728776,567.4793450423668
2021-06-18,85.484619884018,-343.1782407921927,505.7934212303057
2021-06-19,112.70776781682919,-333.5908647748835,582.6886287708845
2021-06-20,142.4969902994242,-283.10441080075276,571.8616889412307
2021-06-21,109.04371428535136,-305.30060456616775,542.2100465067374
2021-06-22,99.86659780328115,-337.15087132914834,573.5822084398261
2021-06-23,88.35883363626677,-310.4201039992165,522.1104451262078
2021-06-24,116.82866558467612,-335.06996717270266,531.1686523378821
2021-06-25,84.30593300880616,-365.8333006733732,515.2102666950034
2021-06-26,112.37873549651309,-351.2374566479037,550.0951798044833
2021-06-27,142.64519783263447,-273.6954929446814,572.2163400439377
2021-06-28,109.26101294876207,-333.55188330625157,557.4064101440962
2021-06-29,99.71984679955298,-312.86856373931016,527.8849804548832
2021-06-30,87.40140374338276,-339.2211471373533,511.99895263586455
2021-07-01,114.61241194055225,-318.05981227373246,537.1844045836161
2021-07-02,80.39333518494814,-340.882919846151,531.6059940834433
2021-07-03,106.35490119214738,-333.2691365572138,549.2538087594608
2021-07-04,134.1294320536386,-293.25702837544446,567.6937209681032
2021-07-05,97.91766712901656,-322.80473272536574,546.2138000855882
2021-07-06,85.2681815428574,-334.84288627275924,530.6136083099417
2021-07-07,69.62422411237455,-350.277446411601,494.872658703452
2021-07-08,93.36326478862938,-307.89315397028355,504.41052882254894
2021-07-09,55.60209310048592,-380.8203958294398,455.2666555214612
2021-07-10,78.03159629861331,-380.31957174662267,530.6815775141735
