datetime,power,global_radiation,temperature,Year,Month,Day,date
5/27/20 12:30,2.11,1035.316,25.20,2020,5,27,5/27/2020
6/2/19 13:45,2.109,1051.086,34.15,2019,6,2,6/2/2019
5/17/20 14:00,2.109,1053.193,23.45,2020,5,17,5/17/2020
7/20/20 13:30,2.109,1024.001,28.80,2020,7,20,7/20/2020
7/21/20 13:15,2.108,1043.688,29.10,2020,7,21,7/21/2020
5/10/19 12:30,2.107,1102.916,19.75,2019,5,10,5/10/2019
7/5/19 13:30,2.107,1042.82,31.55,2019,7,5,7/5/2019
7/31/19 13:15,2.107,1039.512,28.85,2019,7,31,7/31/2019
5/27/20 13:15,2.107,1050.08,26.35,2020,5,27,5/27/2020
6/2/19 13:00,2.106,1039.07,33.75,2019,6,2,6/2/2019
7/8/19 13:30,2.106,1069.303,24.60,2019,7,8,7/8/2019
7/21/19 14:30,2.106,1031.863,31.80,2019,7,21,7/21/2019
5/7/20 13:15,2.106,1035.241,24.70,2020,5,7,5/7/2020
5/7/20 13:30,2.106,1040.02,25.10,2020,5,7,5/7/2020
5/26/20 14:00,2.106,1045.878,26.05,2020,5,26,5/26/2020
5/27/20 13:30,2.106,1046.309,26.60,2020,5,27,5/27/2020
6/25/20 13:45,2.106,1053.18,32.25,2020,6,25,6/25/2020
7/21/20 13:30,2.106,1049.527,28.60,2020,7,21,7/21/2020
5/19/20 13:30,2.105,1035.12,29.15,2020,5,19,5/19/2020
6/21/20 12:30,2.105,1032.087,28.50,2020,6,21,6/21/2020
7/4/19 13:15,2.104,1037.183,28.30,2019,7,4,7/4/2019
7/4/19 13:30,2.104,1046.344,28.15,2019,7,4,7/4/2019
5/28/20 12:30,2.104,1024.963,24.10,2020,5,28,5/28/2020
7/20/20 13:45,2.104,1024.3,28.60,2020,7,20,7/20/2020
5/25/19 14:30,2.103,1066.859,26.30,2019,5,25,5/25/2019
6/22/20 13:45,2.103,1059.117,27.05,2020,6,22,6/22/2020
6/27/20 14:00,2.103,1033.715,29.00,2020,6,27,6/27/2020
5/20/19 12:45,2.102,1020.918,22.90,2019,5,20,5/20/2019
5/22/19 13:30,2.102,1111.68,23.70,2019,5,22,5/22/2019
6/23/19 14:30,2.102,1028.746,32.40,2019,6,23,6/23/2019
7/5/19 13:45,2.102,1048.362,32.45,2019,7,5,7/5/2019
8/1/19 13:00,2.102,1070.128,29.85,2019,8,1,8/1/2019
5/16/20 14:00,2.102,1045.65,22.90,2020,5,16,5/16/2020
5/26/20 13:45,2.102,1043.667,25.80,2020,5,26,5/26/2020
5/27/20 13:45,2.102,1044.58,26.80,2020,5,27,5/27/2020
5/28/20 14:15,2.102,1050.206,25.45,2020,5,28,5/28/2020
